name,genre_1,price,tier,total_votes,pos_ratio,p_bayes,p_ml,b_rating,score_finale
Metaverse Keeper / 元能失控,action,mid_price,mostly_positive,216,76.9,0.727,0.658,0.755,0.7238
PixelJunk™ Shooter,action,budget,very_positive,484,90.3,0.587,0.623,0.843,0.7237
Ben and Ed - Blood Party,gore,mid_price,mostly_positive,698,84.4,0.635,0.631,0.814,0.7237
Welcome to the Game,horror,budget,mostly_positive,1627,83.3,0.666,0.589,0.819,0.7234
Blade and Sorcery,action,mid_price,very_positive,1529,86.7,0.609,0.592,0.847,0.7234
de Blob,adventure,mid_price,very_positive,90,95.6,0.689,0.617,0.794,0.7233
Quell 4D,indie,mid_price,mostly_positive,88,80.7,0.76,0.615,0.759,0.7233
Jumps,indie,budget,very_positive,146,93.8,0.669,0.607,0.808,0.7232
Shooting Stars!,action,budget,very_positive,557,89.8,0.587,0.617,0.844,0.7232
Battle Princess Madelyn,indie,mid_price,mostly_positive,83,80.7,0.76,0.615,0.759,0.723
Shantae: Half-Genie Hero Ultimate Edition,adventure,mid_price,very_positive,156,88.5,0.689,0.617,0.793,0.7229
Ys I & II Chronicles+,jrpg,budget,very_positive,1218,88.9,0.582,0.588,0.861,0.7228
Ys VI: The Ark of Napishtim,action,mid_price,very_positive,465,92.0,0.609,0.579,0.852,0.7228
Raw Data,action,mid_price,mostly_positive,1883,84.7,0.609,0.617,0.833,0.7227
BallisticNG,racing,budget,very_positive,1259,90.7,0.542,0.597,0.876,0.7226
Kromaia,indie,mid_price,mostly_positive,102,79.4,0.76,0.615,0.758,0.7225
12 is Better Than 6,action,budget,mostly_positive,3768,84.7,0.587,0.623,0.84,0.7223
Zombie Training Simulator,action,mid_price,very_positive,531,90.6,0.609,0.585,0.848,0.7222
Wild Animal Sports Day,horror,budget,very_positive,122,92.6,0.666,0.626,0.798,0.7218
Heretic: Shadow of the Serpent Riders,classic,budget,very_positive,446,93.5,0.582,0.588,0.859,0.7218
Trip to Vinelands,indie,budget,very_positive,125,92.0,0.669,0.624,0.797,0.7214
Super Lucky's Tale,adventure,mid_price,very_positive,159,87.4,0.689,0.617,0.79,0.7214
XGun-Weapon Evolution,indie,budget,very_positive,115,93.0,0.669,0.624,0.796,0.7214
QuiVr,action,mid_price,very_positive,449,92.2,0.609,0.575,0.851,0.7214
Millie,indie,budget,mostly_positive,610,82.1,0.669,0.624,0.796,0.7213
One Finger Death Punch,action,budget,overwhelmingly_positive,14437,98.2,0.439,0.491,0.977,0.7212
Serious Sam VR: The Last Hope,action,mid_price,very_positive,958,85.6,0.609,0.617,0.83,0.7211
Praey for the Gods,adventure,mid_price,mostly_positive,460,81.7,0.689,0.617,0.789,0.7209
Rifter,indie,budget,very_positive,88,96.6,0.669,0.624,0.795,0.7208
Grand Theft Auto III,open_world,budget,very_positive,5468,86.3,0.582,0.588,0.857,0.7208
Resident Evil 7 / Biohazard 7 Teaser: Beginning Hour,horror,free,very_positive,3907,87.6,0.666,0.483,0.867,0.7208
You Must Build A Boat,indie,budget,mostly_positive,752,81.5,0.669,0.624,0.795,0.7207
Polygon Attack,indie,budget,very_positive,163,87.7,0.662,0.636,0.792,0.7205
Cosmochoria,action,budget,very_positive,445,90.1,0.587,0.617,0.838,0.7202
Downward Spiral: Horus Station,indie,mid_price,mostly_positive,70,78.6,0.76,0.615,0.753,0.7201
Outrunner,indie,budget,mostly_positive,338,83.7,0.669,0.624,0.794,0.7201
12 orbits,indie,budget,very_positive,202,86.6,0.669,0.624,0.794,0.7201
Five Nights at Freddy's 2,horror,budget,very_positive,8883,90.4,0.575,0.507,0.899,0.72
GRIP: Combat Racing,racing,mid_price,very_positive,1695,89.6,0.551,0.581,0.873,0.7198
Dyad,indie,mid_price,mostly_positive,217,76.5,0.76,0.611,0.753,0.7196
True Fear: Forsaken Souls Part 2,adventure,budget,very_positive,151,88.1,0.67,0.626,0.791,0.7194
The Original Strife: Veteran Edition,action,budget,very_positive,357,92.2,0.587,0.608,0.841,0.7193
Hyper Knights,action,budget,very_positive,522,88.9,0.587,0.617,0.836,0.7193
Time Up,adventure,budget,very_positive,86,96.5,0.67,0.619,0.794,0.7193
Yomawari: Night Alone / 夜廻,adventure,mid_price,mostly_positive,912,79.8,0.689,0.617,0.785,0.7192
Supercharged Robot VULKAISER,action,budget,very_positive,224,95.1,0.587,0.623,0.833,0.719
UBERMOSH:WRAITH,indie,budget,very_positive,139,89.2,0.669,0.624,0.792,0.719
Copy Kitty,action,mid_price,very_positive,149,98.7,0.609,0.617,0.825,0.719
Team Fortress Classic,action,budget,mostly_positive,3951,84.0,0.587,0.623,0.833,0.719
Five Nights at Freddy's: Sister Location,horror,budget,very_positive,5254,90.7,0.575,0.505,0.898,0.7189
Dead Pixels,zombies,budget,very_positive,2314,86.6,0.582,0.588,0.853,0.7188
Penarium,indie,budget,mostly_positive,296,83.8,0.669,0.624,0.791,0.7187
Rising Storm 2: Vietnam,fps,mid_price,mostly_positive,21978,78.3,0.657,0.653,0.782,0.7186
Grey Cubes,action,budget,very_positive,423,89.8,0.587,0.617,0.835,0.7185
Canabalt,indie,budget,very_positive,204,85.8,0.669,0.624,0.791,0.7185
Hell Yeah! Wrath of the Dead Rabbit,platformer,budget,very_positive,3146,86.2,0.582,0.588,0.852,0.7184
Conan the mighty pig,horror,budget,mostly_positive,298,84.6,0.666,0.616,0.795,0.7182
Absolute Drift,racing,budget,very_positive,1898,88.1,0.542,0.605,0.863,0.7181
Pivot XL,indie,budget,very_positive,77,96.1,0.669,0.624,0.789,0.7178
Getting Over It with Bennett Foddy,horror,budget,mostly_positive,13877,79.0,0.666,0.627,0.789,0.7178
UBERMOSH Vol.5,action,budget,very_positive,213,95.8,0.587,0.617,0.833,0.7178
The Eternal Castle [REMASTERED],adventure,budget,very_positive,185,86.5,0.67,0.619,0.791,0.7176
Welcome to the Game II,horror,budget,mostly_positive,765,81.3,0.666,0.616,0.794,0.7176
Qvadriga,racing,mid_price,mostly_positive,265,81.1,0.666,0.651,0.776,0.7173
It Lurks Below,action,mid_price,very_positive,522,89.5,0.609,0.579,0.84,0.717
Descent,classic,budget,very_positive,273,96.3,0.582,0.588,0.849,0.717
Prison Run and Gun,action,budget,very_positive,315,91.4,0.587,0.617,0.832,0.717
Azure Striker Gunvolt,action,mid_price,very_positive,865,86.9,0.609,0.585,0.837,0.717
Surfingers,indie,budget,mostly_positive,545,81.1,0.669,0.624,0.788,0.717
Aliens versus Predator Classic 2000,fps,budget,very_positive,1653,86.8,0.582,0.588,0.849,0.7168
Save the Ninja Clan,indie,budget,very_positive,92,92.4,0.669,0.624,0.787,0.7167
Battlezone 98 Redux,strategy,mid_price,very_positive,569,90.5,0.557,0.61,0.85,0.7167
Knightmare Tower,action,budget,very_positive,416,93.3,0.531,0.626,0.854,0.7165
Catmaze,adventure,budget,very_positive,175,86.3,0.67,0.619,0.789,0.7165
Madballs in Babo:Invasion ,indie,budget,mostly_positive,236,83.9,0.669,0.624,0.786,0.7164
Pushcat,indie,budget,very_positive,86,93.0,0.669,0.624,0.786,0.7163
Iron Brigade,tower_defense,mid_price,mostly_positive,697,82.2,0.635,0.631,0.799,0.7161
Fight of Gods,action,mid_price,very_positive,682,85.2,0.609,0.617,0.819,0.716
Marble Skies,indie,budget,very_positive,136,87.5,0.669,0.624,0.786,0.716
Bing Bong XL,indie,budget,very_positive,84,92.9,0.669,0.624,0.785,0.7158
Furious Seas,pirates,mid_price,very_positive,114,93.9,0.635,0.631,0.798,0.7158
SWEATER? OK!,indie,budget,very_positive,112,89.3,0.669,0.624,0.785,0.7158
Bullet Heaven 2,bullet_hell,budget,very_positive,237,97.5,0.582,0.588,0.846,0.7157
Shadow Man,action,budget,very_positive,464,88.1,0.587,0.62,0.828,0.7157
Space Channel 5: Part 2,rhythm,budget,very_positive,776,88.5,0.582,0.588,0.846,0.7156
Zwei: The Ilvard Insurrection,action,mid_price,very_positive,200,97.5,0.609,0.579,0.837,0.7155
Flat Heroes,action,budget,very_positive,310,91.0,0.587,0.617,0.829,0.7155
Fly O'Clock,indie,budget,mostly_positive,324,82.1,0.669,0.624,0.785,0.7154
Don't open the doors!,indie,budget,very_positive,157,86.0,0.669,0.624,0.785,0.7154
Dead End Road,indie,budget,very_positive,151,88.7,0.669,0.607,0.793,0.7154
Dungeons & Dragons: Chronicles of Mystara,beat_em_up,mid_price,mostly_positive,965,81.3,0.635,0.631,0.797,0.7153
Asura: Vengeance Expansion,action,budget,very_positive,506,87.7,0.587,0.617,0.828,0.7152
Road to Ballhalla,action,mid_price,very_positive,317,88.6,0.609,0.617,0.818,0.7152
Devil May Cry HD Collection,action,mid_price,very_positive,1428,85.2,0.609,0.585,0.834,0.7151
Ellipsis,action,budget,very_positive,173,97.1,0.587,0.617,0.828,0.715
The Sun and Moon,indie,budget,very_positive,141,86.5,0.669,0.624,0.784,0.7149
Shift Happens,action,mid_price,very_positive,248,90.3,0.609,0.617,0.817,0.7147
Disturbed,free_to_play,free,very_positive,1334,93.0,0.514,0.553,0.896,0.7146
BYTEPATH,action,budget,very_positive,153,98.7,0.587,0.617,0.827,0.7145
Starr Mazer: DSP,indie,budget,mostly_positive,203,83.7,0.669,0.624,0.782,0.7143
NyxQuest: Kindred Spirits,adventure,budget,very_positive,96,90.6,0.67,0.619,0.784,0.7143
Frederic: Resurrection of Music Director's Cut,indie,budget,mostly_positive,238,82.8,0.669,0.624,0.782,0.714
Iggy's Egg Adventure,indie,budget,mostly_positive,174,84.5,0.669,0.624,0.782,0.714
Meltdown,action,budget,very_positive,742,85.8,0.587,0.617,0.826,0.714
Flywrench,action,budget,very_positive,184,95.7,0.587,0.617,0.826,0.7138
Righty Tighty XL,indie,budget,very_positive,68,94.1,0.669,0.624,0.781,0.7138
Unruly Heroes,adventure,mid_price,mostly_positive,239,81.2,0.689,0.617,0.775,0.7138
Voodoo Vince: Remastered,action,mid_price,very_positive,212,94.3,0.609,0.592,0.827,0.7137
The TakeOver,action,mid_price,very_positive,204,91.7,0.609,0.617,0.815,0.7137
The Disney Afternoon Collection,action,mid_price,very_positive,269,92.6,0.609,0.585,0.83,0.7136
Space Ace,adventure,budget,very_positive,88,90.9,0.67,0.619,0.782,0.7134
Trials Evolution: Gold Edition,racing,mid_price,mostly_positive,1805,76.6,0.666,0.662,0.763,0.7134
Ravva and the Cyclops Curse,indie,budget,very_positive,53,98.1,0.669,0.624,0.781,0.7134
Tumbleweed Express,indie,budget,very_positive,98,88.8,0.669,0.624,0.78,0.7133
Redout: Enhanced Edition,racing,mid_price,very_positive,2915,87.3,0.551,0.579,0.861,0.7133
Duck Game,action,budget,overwhelmingly_positive,17524,95.7,0.416,0.53,0.953,0.7132
Treadnauts,indie,budget,very_positive,125,86.4,0.669,0.624,0.78,0.7132
The Story Goes On,indie,budget,very_positive,111,87.4,0.669,0.624,0.78,0.7131
Mana Spark,rpg,budget,very_positive,209,87.1,0.645,0.613,0.797,0.713
Doughlings: Arcade,indie,budget,very_positive,56,96.4,0.669,0.624,0.78,0.713
Retro Game Crunch,indie,budget,mostly_positive,319,81.2,0.669,0.624,0.78,0.7129
Shmadow,indie,budget,mostly_positive,200,83.0,0.669,0.624,0.779,0.7127
Pankapu,indie,budget,mostly_positive,241,82.2,0.669,0.624,0.779,0.7127
REVOLVER360 RE:ACTOR,shoot_em_up,budget,very_positive,273,94.5,0.582,0.588,0.84,0.7127
Roof Rage,action,mid_price,very_positive,150,94.7,0.609,0.617,0.812,0.7125
Grand Pigeon's Duty,indie,budget,mostly_positive,506,79.8,0.669,0.624,0.779,0.7124
Recursion Deluxe,indie,budget,very_positive,72,91.7,0.669,0.624,0.778,0.7123
Face It - A game to fight inner demons,indie,budget,mostly_positive,1158,78.3,0.662,0.636,0.775,0.7123
Polynomial 2 - Universe of the Music,indie,budget,very_positive,126,85.7,0.669,0.624,0.778,0.7123
Ninja Pizza Girl,indie,budget,mostly_positive,262,80.9,0.662,0.636,0.775,0.7121
Rise of Insanity,horror,budget,mostly_positive,506,80.0,0.666,0.622,0.78,0.7121
Let Them Come,action,budget,very_positive,377,87.8,0.587,0.623,0.819,0.712
Madrobot X,indie,budget,very_positive,89,88.8,0.669,0.624,0.778,0.712
HellCat,indie,budget,very_positive,111,86.5,0.669,0.624,0.777,0.7119
High Hell,action,budget,very_positive,538,86.4,0.587,0.617,0.822,0.7119
Heathen - The sons of the law,adventure,mid_price,very_positive,60,90.0,0.689,0.617,0.771,0.7119
DreadOut,horror,mid_price,mostly_positive,3215,75.6,0.643,0.694,0.755,0.7118
Space Impossible,adventure,budget,very_positive,78,91.0,0.67,0.619,0.779,0.7118
Aim Hero,fps,budget,very_positive,3054,85.0,0.582,0.583,0.841,0.7116
TTV2,indie,budget,very_positive,69,91.3,0.669,0.624,0.777,0.7114
Hitman 2: Silent Assassin,stealth,budget,very_positive,1774,85.3,0.582,0.588,0.838,0.7114
Orbital Gear,action,budget,mostly_positive,1786,83.3,0.587,0.617,0.82,0.7113
Metal Tales: Fury of the Guitar Gods,indie,budget,very_positive,72,90.3,0.669,0.624,0.776,0.711
Wrongworld,action,mid_price,very_positive,179,95.0,0.609,0.592,0.822,0.7109
Adventure Time: Pirates of the Enchiridion,adventure,mid_price,very_positive,87,85.1,0.689,0.617,0.769,0.7109
Airtone,action,mid_price,very_positive,162,96.3,0.609,0.592,0.822,0.7109
Jet Set Radio,classic,budget,mostly_positive,4029,84.3,0.582,0.588,0.837,0.7108
Maelstrom,action,mid_price,very_positive,747,85.7,0.609,0.585,0.825,0.7107
Fruit Ninja VR,action,mid_price,very_positive,525,85.3,0.609,0.606,0.814,0.7106
Cosmophony,indie,budget,very_positive,102,86.3,0.669,0.624,0.775,0.7106
Contractors,action,mid_price,very_positive,625,86.2,0.609,0.585,0.824,0.7105
Dino D-Day,dinosaurs,budget,mostly_positive,14589,83.8,0.582,0.588,0.836,0.7104
Insurgency: Sandstorm,fps,mid_price,mostly_positive,16791,76.6,0.657,0.653,0.765,0.7102
ROCKETSROCKETSROCKETS,indie,budget,mostly_positive,549,78.5,0.662,0.636,0.771,0.7101
Tormentor❌Punisher,action,budget,very_positive,329,88.4,0.587,0.617,0.818,0.7101
Zombo Buster Rising,action,budget,very_positive,229,91.3,0.587,0.617,0.818,0.7099
POSTAL,action,budget,mostly_positive,2821,82.2,0.587,0.623,0.815,0.7098
PLANET ALPHA,adventure,mid_price,mostly_positive,216,79.6,0.689,0.617,0.767,0.7097
Razenroth,rpg,budget,mostly_positive,464,81.9,0.645,0.613,0.79,0.7096
Intrusion 2,action,budget,mostly_positive,1177,83.5,0.587,0.617,0.817,0.7095
Pummel Party,action,mid_price,mostly_positive,1674,81.7,0.609,0.617,0.806,0.7095
iO,indie,budget,mostly_positive,177,81.9,0.669,0.624,0.773,0.7095
Tom Clancy's Splinter Cell®,stealth,budget,very_positive,1047,86.0,0.582,0.588,0.834,0.7095
Final DOOM,fps,budget,very_positive,655,87.5,0.582,0.588,0.834,0.7095
Duck Season,action,mid_price,very_positive,531,85.9,0.609,0.593,0.818,0.7094
The Apogee Throwback Pack,action,budget,very_positive,218,90.8,0.587,0.623,0.814,0.7094
COLINA: Legacy,indie,budget,very_positive,83,85.5,0.669,0.631,0.769,0.7094
Binaries,indie,budget,very_positive,58,91.4,0.669,0.624,0.772,0.7094
Immortal Planet,souls_like,mid_price,very_positive,126,88.1,0.635,0.631,0.785,0.7093
Earth Overclocked,indie,budget,mostly_positive,128,83.6,0.669,0.624,0.772,0.7093
Pix the Cat,indie,budget,mostly_positive,299,79.9,0.669,0.624,0.772,0.7092
Feral Fury,indie,budget,very_positive,97,85.6,0.669,0.624,0.772,0.7092
Wand Wars,action,budget,very_positive,158,94.3,0.587,0.623,0.813,0.7092
Crysis 2 - Maximum Edition,action,mid_price,mostly_positive,8156,82.4,0.609,0.585,0.822,0.7091
Slowdrive,indie,budget,very_positive,66,93.9,0.669,0.607,0.78,0.7091
Deathmatch Classic,action,budget,mostly_positive,1540,82.7,0.587,0.623,0.813,0.7091
Switchcars,racing,budget,very_positive,358,93.9,0.542,0.594,0.85,0.709
Suicide Guy,action,budget,mostly_positive,588,84.7,0.587,0.623,0.813,0.7087
Collisions,indie,budget,mostly_positive,187,81.3,0.669,0.624,0.771,0.7087
D.R.O.N.E. The Game,action,mid_price,very_positive,178,90.4,0.609,0.617,0.804,0.7086
Heroes Never Lose: Professor Puzzler's Perplexing Ploy,indie,budget,very_positive,73,87.7,0.669,0.624,0.771,0.7086
Undead Horde,action,mid_price,very_positive,132,93.9,0.609,0.617,0.805,0.7086
Don't cut your hand,indie,budget,mostly_positive,164,81.7,0.669,0.624,0.771,0.7084
UBERMOSH:BLACK,action,budget,very_positive,226,90.7,0.587,0.617,0.815,0.7084
LEGO® Indiana Jones™: The Original Adventures,adventure,mid_price,mostly_positive,392,77.8,0.689,0.617,0.764,0.7084
Adventure in the Tower of Flight,adventure,budget,very_positive,84,86.9,0.67,0.619,0.772,0.7083
Champions of Breakfast,action,budget,very_positive,112,100.0,0.587,0.617,0.814,0.7083
Beyond Good and Evil™,adventure,budget,very_positive,2009,90.7,0.548,0.512,0.886,0.7082
Shank 2,action,budget,mostly_positive,2080,82.1,0.587,0.623,0.811,0.708
SharpShooter3D,violent,budget,very_positive,519,88.1,0.582,0.588,0.831,0.708
OVERWHELM,indie,budget,mostly_positive,97,84.5,0.669,0.624,0.77,0.708
SURV1V3,gore,mid_price,mostly_positive,235,83.0,0.635,0.631,0.782,0.7078
Shio,indie,budget,mostly_positive,1137,77.6,0.669,0.624,0.769,0.7078
Goblin and Coins,indie,budget,very_positive,57,89.5,0.669,0.624,0.769,0.7077
MEANDERS,parkour,budget,very_positive,239,93.7,0.582,0.588,0.83,0.7076
Archimedes,indie,budget,mostly_positive,175,80.0,0.669,0.631,0.765,0.7075
Critical Annihilation,action,budget,very_positive,194,91.8,0.587,0.617,0.813,0.7075
HordeZ,action,mid_price,mostly_positive,384,84.6,0.609,0.617,0.802,0.7074
Spermination,action,budget,very_positive,407,86.2,0.587,0.617,0.813,0.7074
Reflex Arena,arena_shooter,budget,mostly_positive,1445,84.7,0.582,0.588,0.83,0.7073
Last Horizon,indie,budget,mostly_positive,142,81.7,0.669,0.624,0.768,0.7072
Out of Ammo,action,mid_price,mostly_positive,609,84.9,0.609,0.591,0.815,0.7072
Far Cry®,fps,budget,mostly_positive,3708,83.6,0.582,0.588,0.829,0.707
Lichtspeer,indie,budget,mostly_positive,111,82.9,0.669,0.624,0.768,0.707
Spin Rush,indie,budget,mostly_positive,343,78.7,0.669,0.624,0.768,0.7069
Gas Guzzlers Extreme,racing,mid_price,very_positive,2926,85.8,0.551,0.581,0.848,0.7069
Porcunipine,indie,budget,mostly_positive,97,83.5,0.669,0.624,0.767,0.7067
Obscure,horror,budget,very_positive,740,92.6,0.575,0.505,0.874,0.7067
Dynamite Jack,action,budget,very_positive,401,86.0,0.587,0.617,0.811,0.7066
INVERSUS Deluxe,action,mid_price,very_positive,158,94.3,0.609,0.591,0.813,0.7065
Slip,indie,budget,mostly_positive,109,82.6,0.669,0.624,0.767,0.7065
Stardust Galaxy Warriors: Stellar Climax,action,budget,very_positive,146,94.5,0.587,0.617,0.811,0.7064
BlazeRush,racing,budget,very_positive,1062,87.1,0.542,0.597,0.843,0.7063
Tower Fortress,indie,budget,very_positive,52,88.5,0.669,0.624,0.766,0.706
Five Nights at Freddy's 3,horror,budget,very_positive,5595,87.9,0.575,0.505,0.872,0.706
Gauntlet™ Slayer Edition,dungeon_crawler,mid_price,mostly_positive,6404,78.0,0.635,0.631,0.779,0.706
The Ship: Murder Party,indie,free,very_positive,5611,85.9,0.615,0.502,0.853,0.7058
Super Cloudbuilt,action,mid_price,very_positive,174,89.1,0.609,0.617,0.799,0.7057
Ballpoint Universe - Infinite,indie,budget,mostly_positive,627,77.0,0.662,0.636,0.762,0.7057
Sayonara Umihara Kawase,action,mid_price,very_positive,104,95.2,0.609,0.617,0.798,0.7056
Thief: Deadly Shadows,stealth,budget,mostly_positive,1345,84.4,0.582,0.588,0.826,0.7054
Original Journey,indie,budget,mostly_positive,88,83.0,0.669,0.624,0.764,0.7053
Don't Knock Twice,adventure,mid_price,mostly_positive,225,77.3,0.689,0.617,0.757,0.7053
PAKO 2,action,budget,very_positive,175,94.3,0.587,0.598,0.818,0.7052
Soda Girls,action,budget,very_positive,249,88.4,0.587,0.617,0.808,0.705
The Collider,racing,budget,very_positive,942,86.5,0.542,0.605,0.836,0.7048
Orborun,indie,budget,mostly_positive,410,79.0,0.669,0.607,0.771,0.7046
Super Daryl Deluxe,action,mid_price,very_positive,188,87.8,0.609,0.617,0.796,0.7045
Guns'n'Stories: Bulletproof VR,action,mid_price,very_positive,214,90.7,0.609,0.585,0.812,0.7045
OmniBus,indie,budget,mostly_positive,243,80.2,0.669,0.607,0.771,0.7044
Enclave,rpg,budget,mostly_positive,5215,78.2,0.645,0.613,0.78,0.7044
SAS,adventure,mid_price,mostly_positive,111,78.4,0.689,0.617,0.756,0.7043
ROOT,indie,budget,mostly_positive,139,79.9,0.669,0.624,0.762,0.7042
Skylar & Plux: Adventure On Clover Island,action,mid_price,very_positive,311,86.8,0.609,0.592,0.808,0.704
Big Action Mega Fight!,indie,budget,mostly_positive,193,78.8,0.669,0.624,0.762,0.704
RFLEX,action,budget,very_positive,166,91.6,0.587,0.617,0.806,0.704
GIGA WRECKER,action,mid_price,mostly_positive,457,84.9,0.609,0.592,0.808,0.704
STAND OUT : VR Battle Royale,battle_royale,mid_price,mostly_positive,956,78.3,0.635,0.631,0.774,0.7038
Atomik: RunGunJumpGun,action,budget,very_positive,196,89.8,0.587,0.617,0.806,0.7038
Spooky Cats,action,budget,very_positive,339,85.8,0.587,0.617,0.805,0.7037
Hard Reset Extended Edition,fps,budget,mostly_positive,3881,83.1,0.582,0.583,0.825,0.7037
Blockstorm,action,budget,mostly_positive,6661,80.5,0.587,0.623,0.803,0.7037
Super Dungeon Boy,indie,budget,mostly_positive,162,79.0,0.669,0.624,0.761,0.7036
Shadow Blade: Reload,action,budget,very_positive,261,87.4,0.587,0.617,0.805,0.7035
Angels Fall First,action,mid_price,mostly_positive,1898,82.0,0.609,0.585,0.81,0.7034
Blazing Beaks,action,mid_price,very_positive,105,93.3,0.609,0.617,0.794,0.7033
Disney Infinity 3.0: Gold Edition,adventure,mid_price,mostly_positive,185,76.8,0.689,0.617,0.754,0.7033
Fight Angel/格斗天使,nudity,mid_price,very_positive,59,94.9,0.635,0.62,0.779,0.7032
Hyper Jam,action,mid_price,very_positive,104,93.3,0.609,0.617,0.793,0.7031
Flat Kingdom Paper's Cut Edition,indie,budget,mostly_positive,168,78.6,0.669,0.624,0.76,0.703
Bullshot,indie,budget,mostly_positive,272,77.6,0.669,0.624,0.76,0.703
Sonic Generations Collection,platformer,free,very_positive,7510,92.2,0.486,0.497,0.915,0.703
DubWars,indie,budget,mostly_positive,263,77.6,0.669,0.624,0.759,0.7029
Yet Another World,indie,budget,mostly_positive,63,81.0,0.662,0.636,0.756,0.7028
Just Cause 2: Multiplayer Mod,open_world,free,very_positive,13360,91.8,0.462,0.522,0.914,0.7028
Dragon's Lair,adventure,budget,mostly_positive,404,77.2,0.67,0.619,0.761,0.7026
Automobilista,racing,mid_price,very_positive,1096,87.1,0.551,0.571,0.844,0.7026
Planet Diver,indie,budget,mostly_positive,54,83.3,0.669,0.624,0.759,0.7025
Natural Selection 2,strategy,budget,mostly_positive,9870,84.8,0.5,0.619,0.845,0.7024
Where's My Mommy?,indie,budget,mostly_positive,153,78.4,0.669,0.624,0.758,0.7023
Square Heroes,action,budget,very_positive,244,87.3,0.587,0.617,0.802,0.7023
Dog Sled Saga,racing,budget,very_positive,325,91.7,0.542,0.599,0.834,0.7023
KILL THE EMOJI 😱,action,budget,mostly_positive,411,84.4,0.587,0.617,0.802,0.7023
The Walking Vegetables,action,budget,very_positive,122,94.3,0.587,0.617,0.802,0.7022
Time Rifters,action,budget,very_positive,307,88.3,0.531,0.648,0.815,0.7021
Keebles,indie,budget,mostly_positive,57,80.7,0.662,0.636,0.755,0.7021
Run Rabbit Run,adventure,budget,mostly_positive,88,80.7,0.67,0.619,0.759,0.7018
Gunmetal Arcadia Zero,adventure,budget,mostly_positive,84,81.0,0.67,0.619,0.759,0.7018
Miner Meltdown,indie,budget,mostly_positive,122,78.7,0.669,0.624,0.757,0.7018
Unknightly,action,mid_price,very_positive,123,90.2,0.609,0.617,0.791,0.7018
Muffin Knight,indie,budget,mostly_positive,382,76.7,0.669,0.624,0.757,0.7018
Sprint Vector,racing,mid_price,very_positive,469,88.3,0.551,0.598,0.829,0.7018
Dragon's Lair 2: Time Warp,adventure,budget,mostly_positive,55,83.6,0.67,0.619,0.759,0.7018
Elven Assassin,action,mid_price,very_positive,292,88.0,0.609,0.575,0.812,0.7017
Hitman: Contracts,stealth,budget,mostly_positive,1195,83.7,0.582,0.588,0.818,0.7017
Ys: Memories of Celceta,action,mid_price,very_positive,159,93.1,0.609,0.579,0.809,0.7017
Dungeon of Zolthan,indie,budget,mostly_positive,430,76.5,0.669,0.624,0.757,0.7016
Earn to Die 2,action,budget,very_positive,339,89.7,0.531,0.624,0.826,0.7015
Dead Acres,indie,budget,mostly_positive,125,78.4,0.669,0.624,0.757,0.7014
Slasher's Keep,action,mid_price,very_positive,178,91.6,0.609,0.579,0.809,0.7013
Raiden IV: OverKill,action,mid_price,very_positive,367,85.6,0.609,0.585,0.806,0.7013
Gloom,action,budget,very_positive,323,85.1,0.587,0.617,0.8,0.7012
Dustoff Heli Rescue,action,budget,mostly_positive,343,84.8,0.587,0.617,0.8,0.7012
Gnomes Vs. Fairies: Greckel's Quest,adventure,budget,mostly_positive,57,82.5,0.67,0.619,0.758,0.7011
DYE,indie,budget,mostly_positive,58,81.0,0.669,0.624,0.756,0.701
NEXT JUMP: Shmup Tactics,indie,budget,mostly_positive,54,81.5,0.669,0.624,0.756,0.701
Dead Effect 2 VR,action,mid_price,mostly_positive,797,83.2,0.609,0.579,0.808,0.701
Toast Time,indie,budget,mostly_positive,74,79.7,0.669,0.624,0.755,0.7009
Ricochet,action,budget,mostly_positive,3442,80.1,0.587,0.623,0.797,0.7009
RETSNOM,indie,budget,mostly_positive,70,80.0,0.669,0.624,0.756,0.7009
Chicken Invaders 2,action,budget,very_positive,101,96.0,0.587,0.617,0.799,0.7008
Reign of Bullets,indie,budget,mostly_positive,82,79.3,0.669,0.624,0.755,0.7008
I Am The Hero,action,budget,mostly_positive,510,83.1,0.587,0.617,0.799,0.7008
Super Splatters,indie,budget,mostly_positive,155,77.4,0.669,0.624,0.755,0.7007
Crowman & Wolfboy,indie,budget,mostly_positive,57,80.7,0.669,0.624,0.755,0.7007
CS2D,free_to_play,free,very_positive,5454,89.4,0.514,0.516,0.886,0.7006
Call of Duty: United Offensive,action,mid_price,mostly_positive,587,83.5,0.609,0.585,0.804,0.7005
"It came from space, and ate our brains",action,budget,mostly_positive,432,83.6,0.587,0.617,0.799,0.7004
Starcom: Nexus,action,mid_price,very_positive,142,93.7,0.609,0.579,0.807,0.7003
A-Tech Cybernetic VR,action,mid_price,very_positive,263,87.1,0.609,0.585,0.804,0.7002
Share,indie,budget,mostly_positive,202,76.7,0.669,0.624,0.754,0.7002
Trapper's Delight,action,budget,very_positive,135,92.6,0.587,0.611,0.801,0.7001
Just Ski - a physics game by Jeff Weber,indie,budget,mostly_positive,59,79.7,0.669,0.624,0.754,0.7
Blades of Time,action,budget,mostly_positive,1696,80.4,0.587,0.623,0.795,0.6999
Battle Group 2,action,budget,mostly_positive,422,83.4,0.587,0.617,0.797,0.6997
Tower Hunter: Erza's Trial,metroidvania,mid_price,mostly_positive,365,78.4,0.635,0.631,0.766,0.6997
